Scientific Name,Trees_of_pune Page. Nos_.,Family,Local Name,Country,Wikipedia Link,Photo,Occasional/ Rare/ Common,Leaf Type,Leaf Attachment,Leaf Shape,Flower size,Fruit size,Canopy shape,Medicinal value of tree,Other uses of tree,local name in devnagari script
manihot esculenta,58,Euphorbiaceae,Tapioca,South America,,yes,occasional,Simple,Alternate,lobed,1cm,,erect,,,
platanus orientalis,59,Platanaceae,Chinar,India,,yes,Rare,Simple,Alternate,lobed,1-2cm,2-3cm,spreading,,,
ricinus communis,59,Euphorbiaceae,Erand,India-Pune,,yes,common,Simple,Alternate,lobed,10-20cm,3cm,irregular,,,
pterospermum acerifolium,60,Sterculiaceae,Karnikar,India-Pune,,yes,occasional,Simple,Alternate,lobed,15cm,10-15cm,erect,,,
solanum macrophyllum,60,Solanaceae,Potato Tree,Mexico,,yes,occasional,Simple,Alternate,lobed,3-5cm,3-5cm,spreading,,,
artocarpus incisus,61,Moraceae,Neer Phanas,South East  Asia,,no,Rare,Simple,Alternate,lobed,5-8cm,10-15cm,oval,,,
sterculia urens,61,Sterculiaceae,Kandol,India-Pune,,yes,occasional,Simple,Alternate,lobed,10-20cm,2-3cm,spreading,,,
carica papaya,62,Caricaceae,Papayi,America,,yes,common,Simple,Alternate,lobed,2-3cm,20-30cm,globular,,,
ziziphus caracutta (did not find the name),62,Rhamnaceae,Ghatbor,India-Pune,,no,occasional,Simple,Alternate,lobed,6mm,2-3cm,oval,,,
ziziphus oenoplia,62,Rhamnaceae,,India-Pune,,yes,occasional,Simple,Alternate,oblong,6mm,2-3cm,oval,,,
drypetes roxburghii,63,Euphorbiaceae,Putranjiva,India-Kokan,,no,occasional,Simple,Alternate,oblong,2-3cm,1-2cm,trailing,,,
putranjiva roxburghii,63,Euphorbiaceae,Putranjiva,India-Kokan,,yes,occasional,Simple,Alternate,oblong,2-3cm,1-2cm,trailing,,,
pyrus malus,63,Rosaceae,Apple,India-Himalayas,,yes,Rare,Simple,Alternate,oblong,3 cm,5-8cm,irregular,,,
manilkara hexandra,64,Sapotaceae,Khirni,India,,yes,occasional,Simple,Alternate,oblong,1cm,3cm,spreading,,,
ziziphus glabrata,64,Rhamnaceae,Bor,India-Pune,,no,Rare,Simple,Alternate,oblong,,1-2cm,globular,,,
ziziphus mauritiana,64,Rhamnaceae,Bor,India-Pune,,yes,Rare,Simple,Alternate,oblong,,1-2cm,globular,,,
cordia gharaf,65,Boraginaceae,Gondan,India,,yes,occasional,Simple,Alternate,oblong,5cm,1cm,irregular,,,
oncoba routledge,65,Flacourtiaceae,Fried Egg Plant,Africa,,no,Rare,Simple,Alternate,oblong,5-8cm,5-10cm,spreading,,,
chrysophyllum oliviforme,66,Sapotaceae,Tarsi,America,,yes,Rare,Simple,Alternate,oblong,,3-4 cm,irregular,,,
diospyros melanoxylon,66,Ebenaceae,Temru,India-Pune,,yes,occasional,Simple,Alternate,oblong,,2-3cm,oval,,,
annona muricata,67,Annonaceae,Hanuman Phal,Carribbean,,yes,Rare,Simple,Alternate,oblong,3-4cm,8-12cm,erect,,,
miliusa tomentosa,67,Annonaceae,Humb,India-Pune,,no,occasional,Simple,Alternate,oblong,2-3cm,1-2cm,irregular,,,
chrysophyllum cainito,68,Sapotaceae,Star Apple,America,,yes,occasional,Simple,Alternate,oblong,5cm,5cm,irregular,,,
terminalia arjuna,68,Combretaceae,Arjun,India-Pune,,yes,occasional,Simple,Alternate,oblong,10-15cm,3-5cm,globular,,,
terminalia cuneata,68,Combretaceae,Arjun,India-Pune,,no,occasional,Simple,Alternate,oblong,10-15cm,3-5cm,globular,,,
terminalia elliptica,68,Combretaceae,Arjun,India-Pune,,yes,occasional,Simple,Alternate,oblong,10-15cm,3-5cm,globular,,,
alangium salvifolium,69,Alangiaceae,Ankol,India,,yes,Rare,Simple,Alternate,oblong,2-3cm,2 cm,irregular,,,
buchanania cochinchinensis,69,Anacardiaceae,Charoli,India-Pune,,no,occasional,Simple,Alternate,oblong,10-20cm,1cm,irregular,,,
diospyros peregrina,70,Ebenaceae,Temburni,India,,yes,occasional,Simple,Alternate,oblong,1cm,3-7cm,globular,,,
magnolia grandiflora,70,Magnoliaceae,Magnolia,America,,yes,Rare,Simple,Alternate,oblong,15cm,,erect,,,
mangifera indica,71,Anacardiaceae,Amba,India,,yes,common,Simple,Alternate,oblong,10-20cm,5-10cm,globular,,,
ravenala madagascariensis,71,Musaceae,Traveler's Palm,Madagascar,,yes,occasional,Simple,Alternate,oblong,3-5cm,,spreading,,,
ficus natalensis,72,Moraceae,Triangle Leaf Tree,"Natal, South Africa",,yes,Rare,Simple,Alternate,ovate,,,spreading,,,
phyllanthus acidus,72,Euphorbiaceae,Ray Awala,Madagascar,,yes,common,Simple,Alternate,ovate,,1-2cm,irregular,,,
maytenus rothiana,73,Celastraceae,Henkal,India-Pune,,yes,occasional,Simple,Alternate,ovate,6-8cm,6-8cm,erect,,,
maytenus senegalensis,73,Celastraceae,Henkal,India-Pune,,yes,occasional,Simple,Alternate,ovate,6-8cm,6-8cm,erect,,,
populus deltoides,73,Salicaceae,Poplar,North America,,yes,occasional,Simple,Alternate,oblong,,,vase shaped,,,
cordia dichotoma,74,Boraginaceae,Bhokar,India-Pune,,yes,occasional,Simple,Alternate,oblong,5-10cm,1-2cm,trailing,,,
cordia macleodii,74,Boraginaceae,Bhokar,India-Pune,,yes,occasional,Simple,Alternate,oblong,5-10cm,1-2cm,trailing,,,
hura crepitans,74,Euphorbiaceae,Sandbox Tree,America,,yes,occasional,Simple,Alternate,oblong,3-5cm,5-10cm,erect,,,
jatropha integerrima,75,Euphorbiaceae,Fiddle Head Jatropha,Africa,,yes,occasional,Simple,Alternate,oblong,2-3cm,1cm,irregular,,,
jatropha pandurifolia,75,Euphorbiaceae,Fiddle Head Jatropha,Africa,,yes,occasional,Simple,Alternate,oblong,2-3cm,1cm,irregular,,,
thespesia populnea,75,Malvaceae,Paras Bhendi,India-Kokan,,yes,occasional,Simple,Alternate,oblong,5-8cm,2-3cm,globular,,,
mallotus philippensis,76,Euphorbiaceae,Kapila,India,,yes,Rare,Simple,Alternate,oblong,5-10cm,8-12cm,irregular,,,
prunus serrulata,76,Rosaceae,Cherry Blossom,Japan,,yes,,Simple,Alternate,oblong,3 cm,,irregular,,,
barringtonia acutangula,77,Barringtoniaceae,Newar,India-Kokan,,yes,occasional,Simple,Alternate,oblong,3-5cm,3-4 cm,spreading,,,
bixa orellana,77,Bixaceae,Shedri,Tropical America,,yes,occasional,Simple,Alternate,oblong,5cm,3-5cm,oval,,,
ficus arnottiana,78,Moraceae,Pimpal,India-Pune,,no,common,Simple,Alternate,oblong,,,globular,,,
ficus religiosa,78,Moraceae,Pimpal,India-Himalayas,,yes,common,Simple,Alternate,oblong,,,globular,,,
kleinhovia hospita,78,Sterculiaceae,Tree Antigonon,Africa and Australia,,yes,occasional,Simple,Alternate,oblong,10-15cm,,oval,,,
coccoloba uvifera,79,Polygonaceae,Sea-Grape Tree,Tropical America,,yes,Rare,Simple,Alternate,oblong,15-25cm,1-2cm,irregular,,,
morus alba,79,Moraceae,Tuti,China,,yes,occasional,Simple,Alternate,oblong,2-3cm,3-5cm,irregular,,,
cordia sebestena,80,Boraginaceae,Scarlet Cordia,Peru,,yes,occasional,Simple,Alternate,oblong,2-3cm,3-4 cm,oval,,,
ficus benghalensis,80,Moraceae,Wad,India,,yes,common,Simple,Alternate,oblong,,,spreading,,,
ficus benghalensis var. krishnae,80,Moraceae,Wad,India,,no,common,Simple,Alternate,oblong,,,spreading,,,
ficus mollis,81,Moraceae,Kallu Goli,India-Karnataka,,no,Rare,Simple,Alternate,oblong,,,spreading,,,
grewia asiatica,81,Tiliaceae,Phalsa,India-Pune,,yes,occasional,Simple,Alternate,oblong,1cm,1cm,trailing,,,
careya arborea,82,Lecythidaceae,Kumbha,India-Kokan,,yes,Rare,Simple,Alternate,oblong,5cm,5-8cm,globular,,,
pterygota alata,82,Sterculiaceae,Buddha Coconut,India-Andamans,,yes,occasional,Simple,Alternate,oblong,3 cm,10-12cm,oval,,,
sterculia alata,82,Sterculiaceae,Buddha Coconut,India-Andamans,,yes,occasional,Simple,Alternate,oblong,3 cm,10-12cm,oval,,,
ficus carica,83,Moraceae,Anjeer,South West Asia,,yes,occasional,Simple,Alternate,oblong,,,irregular,,,
ficus spp,83,Moraceae,Anjeer,South West Asia,,yes,occasional,Simple,Alternate,oblong,,,irregular,,,
semecarpus anacardium,83,Anacardiaceae,Bibba,India-Pune,,yes,occasional,Simple,Alternate,oblong,,3cm,globular,,,
ficus drupacea var. pubescens,84,Moraceae,Burali Wad,India-Karnataka,,no,Rare,Simple,Alternate,oblong,,,oval,,,
ficus lyrata,84,Moraceae,Fiddleleaf Fig,Africa,,yes,occasional,Simple,Alternate,oblong,,,oval,,,
ficus mysorensis,84,Moraceae,Burali Wad,India-Karnataka,,no,Rare,Simple,Alternate,oblong,,,oval,,,
givotia rottleriformis,85,Euphorbiaceae,Panki,India-Pune,,no,occasional,Simple,Alternate,oblong,10-20cm,2-3cm,globular,,,
terminalia catappa,85,Combretaceae,Badam,Moluccas,,yes,common,Simple,Alternate,oblong,15-25cm,5-8cm,spreading,,,
barringtonia asiatica,86,Barringtoniaceae,Samudraphal,Australia  and Malaysia,,yes,Rare,Simple,alternate,elliptic,20-30cm,5-10cm,oval,,,
lawsonia inermis,86,Lythraceae,Mendi,Egypt,,yes,occasional,Simple,opposite,oblong,1cm,6mm,irregular,,,
malpighia glabra,87,Malpighiaceae,Barbados Cherry,West Indies,,yes,Rare,Simple,opposite,Elliptic,1cm,1-2cm,oval,,,
memecylon umbellatum,87,Melastomaceae,Anjani,India-Kokan,,yes,Rare,Simple,opposite,Elliptic,5-6cm,6-8cm,oval,,,
meyna laxiflora,88,Rubiaceae,Alu,India-Pune,,no,occasional,Simple,opposite,Elliptic,,3-5cm,irregular,,,
santalum album,88,Santalaceae,Chandan,India-Pune,,yes,common,Simple,opposite,Elliptic,4-6cm,1cm,globular,,,
osmanthus fragrans,89,Oleaceae,Tea Olive,Ease Asia,,yes,Rare,Simple,opposite,Elliptic,5cm,1cm,oval,,,
premna obtusifolia,89,Rubiaceae,Agnimanth,India-Kokan,,no,Rare,Simple,opposite,Elliptic,10-15cm,8mm,irregular,,,
strychnos nuxvomica (strychnos nux vomica),90,Loganiaceae,Kajra,India-Kokan,,yes,Rare,Simple,opposite,Elliptic,,3-7cm,oval,,,
tabernaemontana coronaria,90,Apocynaceae,Tagar,West Indies,,yes,common,Simple,opposite,Elliptic,5-10cm,,spreading,,,
garcinia livingstonei,91,Clusiaceae,African Mangosteine,Africa,,yes,Rare,Simple,opposite,Elliptic,1cm,3-4 cm,vase shaped,,,
olea dioica,91,Oleaceae,Par Jambhul,India-Kokan,,no,Rare,Simple,opposite,Elliptic,15-20cm,1-2cm,oval,,,
garcinia indica,92,Clusiaceae,Kokam,India-Kokan,,yes,occasional,Simple,opposite,Elliptic,1cm,3cm,erect,,,
pimenta dioica,92,Lauraceae,Allspice,South America,,yes,Rare,Simple,opposite,Elliptic,,1cm,irregular,,,
cassine glauca,93,Celastraceae,Bhutiya,India-Pune,,no,occasional,Simple,opposite,Elliptic,10cm,1cm,oval,,,
gardenia angusta,93,Rubiaceae,,South East  Asia,,yes,occasional,Simple,opposite,Elliptic,4-6cm,2-3cm,globular,,,
gardenia resinifera,93,Rubiaceae,Dikemali,India-Kokan,,yes,occasional,Simple,opposite,Elliptic,4-6cm,2-3cm,globular,,,
citharexylum spinosum,94,Verbenaceae,Seetaranjan,Central and South America,,yes,occasional,Simple,opposite,Elliptic,10-20cm,5mm,erect,,,
coffea arabica,94,Rubiaceae,Coffee,Arabia,,yes,occasional,Simple,opposite,Elliptic,1cm,1cm,irregular,,,
crescentia alata,95,Bignoniaceae,Kalabash,South East  Asia,,yes,occasional,Simple,opposite,Elliptic,5cm,15-25cm,spreading,,,
crescentia cujete,95,Bignoniaceae,Kalabash,South East  Asia,,yes,occasional,Simple,opposite,Elliptic,5cm,15-25cm,spreading,,,
lagerstroemia microcarpa,95,Lythraceae,Nana,India-Kokan,,yes,occasional,Simple,opposite,Elliptic,1cm,1-2cm,oval,,,
lagerstroemia parviflora,95,Lythraceae,Nana,India-Kokan,,yes,occasional,Simple,opposite,Elliptic,1cm,1-2cm,oval,,,
holarrhena pubescens,96,Apocynaceae,Kuda,India-Pune,,no,occasional,Simple,opposite,Elliptic,2-3cm,20-40cm,erect,,,
wrightia arborea,96,Apocynaceae,Tambada Kuda,India-Pune,,yes,Rare,Simple,opposite,Elliptic,2cm,15-30cm,oval,,,
ixora pavetta,97,Rubiaceae,Raykuda,India-Kokan,,yes,occasional,Simple,opposite,Elliptic,2-3cm,6mm,irregular,,,
wrightia tinctoria,97,Apocynaceae,Kala Kuda,India-Pune,,yes,Rare,Simple,opposite,Elliptic,1-2cm,25-50cm,irregular,,,
morinda citrifolia,98,Rubiaceae,,India-Kokan,,yes,Rare,Simple,opposite,Elliptic,3 cm,2-3cm,irregular,,,
Morinda pubescens,98,Rubiaceae,Bartondi,India-Pune,,no,Rare,Simple,opposite,Elliptic,3 cm,2-3cm,irregular,,,
syzygium jambos,98,Myrtaceae,Jamb,South East Asia,,yes,occasional,Simple,opposite,Elliptic,5-7cm,3cm,irregular,,,
calophyllum inophyllum,99,Clusiaceae,Undi,India-Kokan,,yes,Rare,Simple,opposite,Elliptic,2cm,3-4 cm,oval,,,
lagerstroemia reginae,99,Lythraceae,Tamhan,India-Kokan,,no,occasional,Simple,opposite,Elliptic,5-7cm,2-3cm,irregular,,,
lagerstroemia thorellii (lagerstroemia thorelli),99,Lythraceae,,India-Kokan,,no,occasional,Simple,opposite,Elliptic,5-7cm,2-3cm,irregular,,,
anthocephalus cadamba,100,Rubiaceae,,India-Kokan,,yes,common,Simple,opposite,elliptic,3-5cm,5-6cm,spreading,,,
euphorbia leucocephala,100,Euphorbiaceae,Snow Bush,South America,,no,occasional,Simple,opposite,lanceolate,,,oval,,,
neolamarckia cadamba,100,Rubiaceae,Kadamb,India-Kokan,,yes,common,Simple,opposite,elliptic,3-5cm,5-6cm,spreading,,,
olea europaea,101,Oleaceae,Olive Tree,Mediterranean,,yes,Rare,Simple,opposite,lanceolate,,3cm,spreading,,,
punica granatum,101,Punicaceae,Dalimb,Iran,,yes,occasional,Simple,opposite,lanceolate,3-5cm,10-15cm,irregular,,,
cinnamomum camphora,102,Lauraceae,Dalchini,India,,yes,occasional,Simple,opposite,lanceolate,15-25cm,1-2cm,irregular,,,
cinnamomum verum,102,Lauraceae,Dalchini,Taiwan,,yes,occasional,Simple,opposite,lanceolate,15-25cm,1-2cm,irregular,,,
mesua ferrea,102,Clusiaceae,Nagchapha,India-Assam,,yes,occasional,Simple,opposite,lanceolate,5-8cm,3cm,trailing,,,
eucalyptus citriodora,103,Myrtaceae,Nilgiri,Australia,,yes,common,Simple,opposite,lanceolate,2-3cm,2-3cm,erect,,,
